To check,CodeUnits,DESCRIPTION,EXTRA,TABLETS_PER_DAY,DAILY_DOSE,ALT_OTHER_MEDS,REP,REP2,THEN,DAYS,NUM2,DOSE2
,3 IN THE MORNING 3 AFTERNOON,3inthemorning3afternoon,0,6,NA,NA,NA,NA,NA,NA,NA,NA
,THREE IN THE MORNING AND ONE AT LUNCHTIME,3inthemorningand1atlunchtime,0,4,NA,NA,NA,NA,NA,NA,NA,NA
,3 IN THE MORNING AND 1 IN THE EVENING,3inthemorningand1intheevening,0,4,NA,NA,NA,NA,NA,NA,NA,NA
,THREE IN THE MORNING AND TWO AT 12 MID-DAY,3inthemorningand2at12midday,0,5,NA,NA,NA,NA,NA,NA,NA,NA
,3 IN THE MORNING AND 2 AT 12 NOON,3inthemorningand2at12noon,0,5,NA,NA,NA,NA,NA,NA,NA,NA
,THREE IN THE MORNING AND TWO AT 2PM,3inthemorningand2at2pm,0,5,NA,NA,NA,NA,NA,NA,NA,NA
,3 IN THE MORNING AND 2 AT 2PM,3inthemorningand2at2pm,0,5,NA,NA,NA,NA,NA,NA,NA,NA
,3 IN THE MORNING AND 2 AT  2PM - TO BE ISSUED IN MDS,3inthemorningand2at2pmtobeissuedinmds,0,5,NA,NA,NA,NA,NA,NA,NA,NA
,3 IN THE MORNING AND 2 AT LUNCH,3inthemorningand2atlunch,0,5,NA,NA,NA,NA,NA,NA,NA,NA
,3 IN THE MORNING AND 2 AT LUNCH TIME,3inthemorningand2atlunchtime,0,5,NA,NA,NA,NA,NA,NA,NA,NA
,3 IN THE MORNING AND 2 IN THE AFTERNOON AS DIRECTED,3inthemorningand2intheafternoonasdirected,0,5,NA,NA,NA,NA,NA,NA,NA,NA
,3 IN THE MORNING AND 2 IN THE AFTERNOON  Notes for dispenser: Deliever today,3inthemorningand2intheafternoonnotesfordispenserdelievertoday,0,5,NA,NA,NA,NA,NA,NA,NA,NA
,3 IN THE MORNING AND 2 MIDDAY  Instalments:  Via Venalink Dispensed Weekly,3inthemorningand2middayinstalmentsviavenalinkdispensedweekly,0,5,NA,NA,NA,NA,NA,NA,NA,NA
,3 IN THE MORNING AND 2 MIDDAY  Instalments: Via Venalink Dispensed Weekly,3inthemorningand2middayinstalmentsviavenalinkdispensedweekly,0,5,NA,NA,NA,NA,NA,NA,NA,NA
,3 IN THE MORNING AND 2 MIDDAY  Instalments: Via Venalink Dispensed Weekly  Notes for dispe,3inthemorningand2middayinstalmentsviavenalinkdispensedweeklynotesfordispe,0,5,NA,NA,NA,NA,NA,NA,NA,NA
,3 IN THE MORNING AND 3 AT 2PM,3inthemorningand3at2pm,0,6,NA,NA,NA,NA,NA,NA,NA,NA
,3MAN   2 lunchtime,3man2lunchtime,0,5,NA,NA,NA,NA,NA,NA,NA,NA
,3MANE,3mane,0,3,NA,NA,NA,NA,NA,NA,NA,NA
,3mane,3mane,0,3,NA,NA,NA,NA,NA,NA,NA,NA
,3 mane,3mane,0,3,NA,NA,NA,NA,NA,NA,NA,NA
,3 MANE,3mane,0,3,NA,NA,NA,NA,NA,NA,NA,NA
,3 MANE 1 LUNCH TIME.,3mane1lunchtime,0,4,NA,NA,NA,NA,NA,NA,NA,NA
,3 MANE 2 AFTERNOON,3mane2afternoon,0,5,NA,NA,NA,NA,NA,NA,NA,NA
,3 MANE 2 AT LUNCH,3mane2atlunch,0,5,NA,NA,NA,NA,NA,NA,NA,NA
,3 mane 2 in afternoon,3mane2inafternoon,0,5,NA,NA,NA,NA,NA,NA,NA,NA
,3 MANE 2 NOCTE,3mane2nocte,0,5,NA,NA,NA,NA,NA,NA,NA,NA
,3 MANE  2 NOCTE,3mane2nocte,0,5,NA,NA,NA,NA,NA,NA,NA,NA
,"3 MANE, 3 AT 2.00 PM",3mane3at200pm,0,6,NA,NA,NA,NA,NA,NA,NA,NA
,"3 MANE, 3 AT 2.00 PM  Notes for dispenser: PLEASE DISPENSE ALL MEDICATIONS AS A WEEKLY DOS",3mane3at200pmnotesfordispenserpleasedispenseallmedicationsasaweeklydos,0,6,NA,NA,NA,NA,NA,NA,NA,NA
,3 MANE 3 IN AFTERNOON,3mane3inafternoon,0,6,NA,NA,NA,NA,NA,NA,NA,NA
,3 MANE  3 NOCTE,3mane3nocte,0,6,NA,NA,NA,NA,NA,NA,NA,NA
,THREE MANE AND TWO AT 2PM,3maneand2at2pm,0,5,NA,NA,NA,NA,NA,NA,NA,NA
,3 mane and 3 in afternoon,3maneand3inafternoon,0,6,NA,NA,NA,NA,NA,NA,NA,NA
,3 MANE  THEN 2 AGAIN AT 2PM,3manethen2againat2pm,0,5,NA,NA,NA,NA,NA,NA,NA,NA
,3mg am  and 2mg at 2pm,3mgamand2mgat2pm,0,5,5,NA,NA,NA,NA,NA,NA,NA
,3MG AM AND 2MG PM FOR ONE WEEK AS PER CARDIOLOGY,3mgamand2mgpmfor1weekaspercardiology,0,5,5,NA,NA,NA,NA,NA,NA,NA
,3MG BD,3mgbd,0,NA,6,NA,NA,NA,NA,NA,NA,NA
,3mg bd,3mgbd,0,NA,6,NA,NA,NA,NA,NA,NA,NA
,3mg daily,3mgdaily,0,NA,3,NA,NA,NA,NA,NA,NA,NA
,3MG DAILY AND 2MG DAILY ALTERNATING DAYS,3mgdailyand2mgdailyalternatingdays,0,NA,2.5,NA,NA,NA,NA,NA,NA,NA
,3 MG DAILY   Notes for patient: note change in bumetanide dose as advised by hospital bh19,3mgdailynotesforpatientnotechangeinbumetanidedoseasadvisedbyhospitalbh19,0,NA,3,NA,NA,NA,NA,NA,NA,NA
,"3MG IN MORNING, 2MG IN AFTERNOON",3mginmorning2mginafternoon,0,NA,5,NA,NA,NA,NA,NA,NA,NA
,3MG IN MORNING AND 2MG AFTERNOON.,3mginmorningand2mgafternoon,0,NA,5,NA,NA,NA,NA,NA,NA,NA
,3MG IN THE MORNING AND 2MG AFTERNOON,3mginthemorningand2mgafternoon,0,NA,5,NA,NA,NA,NA,NA,NA,NA
,3 MG IN THE MORNING OR 2 DAILY,3mginthemorningor2daily,0,2,3,NA,NA,NA,NA,NA,NA,NA
,3 MG IN THE MORNING OR 2 DAILY  Notes for dispenser: needs asthma and copd review asap,3mginthemorningor2dailynotesfordispenserneedsasthmaandcopdreviewasap,0,2,3,NA,NA,NA,NA,NA,NA,NA
,3MG IN THE MORNING PLUS 2MG AT 2PM  DAILY,3mginthemorningplus2mgat2pmdaily,0,NA,5,NA,NA,NA,NA,NA,NA,NA
,3MG MANE AND 2MG PM,3mgmaneand2mgpm,0,NA,5,NA,NA,NA,NA,NA,NA,NA
,3MG MORN AND 2MG AFTERNOON,3mgmornand2mgafternoon,0,NA,5,NA,NA,NA,NA,NA,NA,NA
,3MG OM AND 2MG PM,3mgomand2mgpm,0,NA,5,NA,NA,NA,NA,NA,NA,NA
,3MG TWICE A DAY,3mgtwiceaday,0,NA,6,NA,NA,NA,NA,NA,NA,NA
,"3 MORNING, two AFTERNOON",3morning2afternoon,0,5,NA,NA,NA,NA,NA,NA,NA,NA
,3 MORNING 2 AT 2 PM,3morning2at2pm,0,5,NA,NA,NA,NA,NA,NA,NA,NA
,"3 MORNING, TWO IN THE AFTERNOON",3morning2intheafternoon,0,5,NA,NA,NA,NA,NA,NA,NA,NA
,3 MORNING AND 2 AT 2 PM,3morningand2at2pm,0,5,NA,NA,NA,NA,NA,NA,NA,NA
,3MORNING;  AND 2 TABLETS THREE HOURS LATER,3morningand2tablets3hourslater,0,NA,5,NA,NA,NA,NA,NA,NA,NA
,3 MORNING AND TWP AT 2PM,3morningandtwpat2pm,0,5,NA,NA,NA,NA,NA,NA,NA,NA
,3OD,3od,0,3,NA,NA,NA,NA,NA,NA,NA,NA
,3 OD,3od,0,3,NA,NA,NA,NA,NA,NA,NA,NA
,3 OM,3om,0,3,NA,NA,NA,NA,NA,NA,NA,NA
,3 om 2 at 2pm,3om2at2pm,0,5,NA,NA,NA,NA,NA,NA,NA,NA
,3 OM + 3 AT NOON,3om3atnoon,0,6,NA,NA,NA,NA,NA,NA,NA,NA
,3 or 4 om,3or4om,0,3.5,NA,NA,NA,NA,NA,NA,NA,NA
,3 TAB IN AM AND 3 TAB AT LUNCH TIME,3tabinamand3tabatlunchtime,0,6,NA,NA,NA,NA,NA,NA,NA,NA
,3 TAB IN THE MORNING AND 2 AT 2PM,3tabinthemorningand2at2pm,0,5,NA,NA,NA,NA,NA,NA,NA,NA
,3 TAB IN THE MORNING AND 2 TAB AT 2 PM,3tabinthemorningand2tabat2pm,0,5,NA,NA,NA,NA,NA,NA,NA,NA
,3 TABLET AM,3tabletam,0,3,NA,NA,NA,NA,NA,NA,NA,NA
,3 TABLET DAILY,3tabletdaily,0,3,NA,NA,NA,NA,NA,NA,NA,NA
,3 TABLET DAILY AS PER CONSULTANT,3tabletdailyasperconsultant,0,3,NA,NA,NA,NA,NA,NA,NA,NA
,3 TABLET IN THE MORNING,3tabletinthemorning,0,3,NA,NA,NA,NA,NA,NA,NA,NA
,3 TABLET IN THE MORNING AND TWO MID NOON,3tabletinthemorningand2midnoon,0,5,NA,NA,NA,NA,NA,NA,NA,NA
,3 TABLET ONCE A DAY,3tabletonceaday,0,3,NA,NA,NA,NA,NA,NA,NA,NA
,3 TABLET ONCE DAILY,3tabletoncedaily,0,3,NA,NA,NA,NA,NA,NA,NA,NA
,3 TABLET ONCE DAILY  Instalments: in weekly venalink,3tabletoncedailyinstalmentsinweeklyvenalink,0,3,NA,NA,NA,NA,NA,NA,NA,NA
,3 TABLET ONCE DAILY IN THE MORNING,3tabletoncedailyinthemorning,0,3,NA,NA,NA,NA,NA,NA,NA,NA
,3 TABLETS,3tablets,0,3,NA,NA,NA,NA,NA,NA,NA,NA
,3 TABLETS (3GR) AT 8AM AND AT 2PM,3tablets3grat8amandat2pm,0,6,NA,NA,NA,NA,NA,NA,NA,NA
,3 TABLETS ( 3MG ) DAILY,3tablets3mgdaily,0,3,3,NA,NA,NA,NA,NA,NA,NA
,THREE TABLETS THREE TIMES A DAY,3tablets3timesaday,0,9,NA,NA,NA,NA,NA,NA,NA,NA
,3 TABLETS 3  TIMES  DAILY,3tablets3timesdaily,0,9,NA,NA,NA,NA,NA,NA,NA,NA
,3 TABLETS(750MG) INTIALLY THEN 1 TABLET(250MG)EVERY 8 HOURLY UNTIL ATTACK HAS PASSED,3tablets750mgintiallythen1tablet250mgevery8hourlyuntilattackhaspassed,0,3,750,NA,NA,NA,1,1,1,250
,3 TABLETS ALL TOGETHER ONCE A DAY AS PER CARDIOLOGY,3tabletsalltogetheronceadayaspercardiology,0,3,NA,NA,NA,NA,NA,NA,NA,NA
,3 TABLETS AM,3tabletsam,0,3,NA,NA,NA,NA,NA,NA,NA,NA
,3 TABLETS AM AND 2 TABLETS MID DAY,3tabletsamand2tabletsmidday,0,5,NA,NA,NA,NA,NA,NA,NA,NA
,3 TABLETS A.M. AND 2 TABLETS P.M.,3tabletsamand2tabletspm,0,5,NA,NA,NA,NA,NA,NA,NA,NA
,3 TABLETS AM AND 3 TABLETS MID DAY,3tabletsamand3tabletsmidday,0,6,NA,NA,NA,NA,NA,NA,NA,NA
,3 TABLETS AT 8AM AND THREE TABLETS AT 2PM,3tabletsat8amand3tabletsat2pm,0,6,NA,NA,NA,NA,NA,NA,NA,NA
,3 TABLETS AT 8AM AND 3 TABLETS AT 2PM,3tabletsat8amand3tabletsat2pm,0,6,NA,NA,NA,NA,NA,NA,NA,NA
,3 tablets a WEEK,3tabletsaweek,0,0.43,NA,NA,NA,NA,NA,NA,NA,NA
,3  TABLETS BD,3tabletsbd,0,6,NA,NA,NA,NA,NA,NA,NA,NA
,THREE TABLETS BEFORE BREAKFAST AND TWO TABLETS AFTER LUNCH,3tabletsbeforebreakfastand2tabletsafterlunch,0,5,NA,NA,NA,NA,NA,NA,NA,NA
,THREE TABLETS DAILY,3tabletsdaily,0,3,NA,NA,NA,NA,NA,NA,NA,NA
,3 TABLETS DAILY,3tabletsdaily,0,3,NA,NA,NA,NA,NA,NA,NA,NA
,3 TABLETS DAILY AS PER CARDIOLOGY,3tabletsdailyaspercardiology,0,3,NA,NA,NA,NA,NA,NA,NA,NA
,3 TABLETS DAILY AS PER RENAL TEAM,3tabletsdailyasperrenalteam,0,3,NA,NA,NA,NA,NA,NA,NA,NA
,3 TABLETS DAILY PLEASE ARRANGE BLOODS IN 2 WEEKS IF BLOODS OK CAN GO ON REPEATS,3tabletsdailypleasearrangebloodsin2weeksifbloodsokcangoonrepeats,0,3,NA,NA,NA,NA,NA,NA,NA,NA
,THREE TABLETS EACH MORNING TO HELP RELIEVE FLUID RETENTION AND STRENGTHEN THE HEART.,3tabletseachmorningtohelprelievefluidretentionandstrengthentheheart,0,3,NA,NA,NA,NA,NA,NA,NA,NA
,3 TABLET(S) EVERY MORNING AND 2 TABLET(S) AT LUNCHTIME,3tabletseverymorningand2tabletsatlunchtime,0,5,NA,NA,NA,NA,NA,NA,NA,NA
,3 TABLETS EVERY MORNING AND 3 TABLETS AT 2PM,3tabletseverymorningand3tabletsat2pm,0,6,NA,NA,NA,NA,NA,NA,NA,NA
,3 TABLET(S) IN IN THE MORNING,3tabletsininthemorning,0,3,NA,NA,NA,NA,NA,NA,NA,NA
,3 TABLETS IN MORNING,3tabletsinmorning,0,3,NA,NA,NA,NA,NA,NA,NA,NA
,3 TABLETS IN MORNING AND 3 TABLETS AT 2PM,3tabletsinmorningand3tabletsat2pm,0,6,NA,NA,NA,NA,NA,NA,NA,NA
,3 TABLETS IN THE MORNING,3tabletsinthemorning,0,2,NA,NA,NA,NA,NA,NA,NA,NA
,3 TABLETS IN THE MORNING (120MG),3tabletsinthemorning120mg,0,3,120,NA,NA,NA,NA,NA,NA,NA
,3 TABLETS IN THE MORNING; 2 TABLETS AT LUNCHTIME,3tabletsinthemorning2tabletsatlunchtime,0,5,NA,NA,NA,NA,NA,NA,NA,NA
,3 TABLETS IN THE MORNING 2 TABLETS LUNCH  Notes for patient: note change dosage  bumetanid,3tabletsinthemorning2tabletslunchnotesforpatientnotechangedosagebumetanid,0,5,NA,NA,NA,NA,NA,NA,NA,NA
,3 TABLETS IN THE MORNING; 3 TABLETS AT LUNCHTIME,3tabletsinthemorning3tabletsatlunchtime,0,6,NA,NA,NA,NA,NA,NA,NA,NA
,3 TABLETS IN THE MORNING 3 TABLETS LUNCH  Notes for patient: note change dosage  bumetanid,3tabletsinthemorning3tabletslunchnotesforpatientnotechangedosagebumetanid,0,6,NA,NA,NA,NA,NA,NA,NA,NA
,THREE  TABLETS IN THE MORNING AND ONE AT LUNCH TIME,3tabletsinthemorningand1atlunchtime,0,4,NA,NA,NA,NA,NA,NA,NA,NA
,3 TABLETS IN THE MORNING AND 2 AT LUNCHTIME,3tabletsinthemorningand2atlunchtime,0,5,NA,NA,NA,NA,NA,NA,NA,NA
,3 TABLETS IN THE MORNING AND 2  AT NIGHT (SLS HZC115151 PI DR GIBBONS SN 006015),3tabletsinthemorningand2atnightslshzc115151pidrgibbonssn006015,0,5,NA,NA,NA,NA,NA,NA,NA,NA
,3 TABLETS IN THE MORNING AND 2 TABLETS AT 12 NOON,3tabletsinthemorningand2tabletsat12noon,0,5,NA,NA,NA,NA,NA,NA,NA,NA
,3 TABLETS IN THE MORNING AND 2 TABLETS  AT 2PM,3tabletsinthemorningand2tabletsat2pm,0,5,NA,NA,NA,NA,NA,NA,NA,NA
,3 TABLETS IN THE MORNING AND TWO TABLETS AT 2P.M.,3tabletsinthemorningand2tabletsat2pm,0,5,NA,NA,NA,NA,NA,NA,NA,NA
,3 TABLETS IN THE MORNING AND TWO TABLETS AT 2PM DAILY,3tabletsinthemorningand2tabletsat2pmdaily,0,5,NA,NA,NA,NA,NA,NA,NA,NA
,3 TABLETS IN THE MORNING AND 2 TABLETS AT LUNCHTIME,3tabletsinthemorningand2tabletsatlunchtime,0,5,NA,NA,NA,NA,NA,NA,NA,NA
,3 TABLETS INTHE MORNING AND 2 TABLETS AT LUNCHTIME,3tabletsinthemorningand2tabletsatlunchtime,0,5,NA,NA,NA,NA,NA,NA,NA,NA
,3 TABLETS IN THE MORNING AND 2 TABLETS IN THE AFTERNOON,3tabletsinthemorningand2tabletsintheafternoon,0,5,NA,NA,NA,NA,NA,NA,NA,NA
,3 TABLETS IN THE MORNING AND 3 TABLETS AT MIDDAY,3tabletsinthemorningand3tabletsatmidday,0,6,NA,NA,NA,NA,NA,NA,NA,NA
,3 TABLETS MANE & 2 LUNCHTIME,3tabletsmane2lunchtime,0,5,NA,NA,NA,NA,NA,NA,NA,NA
,3 TABLETS MANE; 2 TABLETS AT MID-DAY VIA MDS,3tabletsmane2tabletsatmiddayviamds,0,5,NA,NA,NA,NA,NA,NA,NA,NA
,"3 TABLETS MON, WED, FRI, SUN, AND 4 TABLETS TUES, THURS, AND SAT ONCE DAILY",3tabletsmonwedfrisunand4tabletstuesthursandsatoncedaily,0,3.29,NA,NA,NA,NA,NA,NA,NA,NA
,3 TABLETS MORNING AND AT 12 NOON,3tabletsmorningandat12noon,0,6,NA,NA,NA,NA,NA,NA,NA,NA
,3 TABLETS ONCE A DAY,3tabletsonceaday,0,3,NA,NA,NA,NA,NA,NA,NA,NA
,3 TABLETS  ONCE A DAY,3tabletsonceaday,0,3,NA,NA,NA,NA,NA,NA,NA,NA
,3 TABLETS ONCE A DAY BETWEEN 10AM AND 12 NOON,3tabletsonceadaybetween10amand12noon,0,6,NA,NA,NA,NA,NA,NA,NA,NA
,3 tablets once a week (7.5mg),3tabletsonceaweek75mg,0,0.43,1.1,NA,NA,NA,NA,NA,NA,NA
,3 TABLETS ONCE DAILY,3tabletsoncedaily,0,3,NA,NA,NA,NA,NA,NA,NA,NA
,3 TABLETS ONCE DAILY IN THE MORNING,3tabletsoncedailyinthemorning,0,2,NA,NA,NA,NA,NA,NA,NA,NA
,3 tablets to be taken weekly. can be increased every 2 weeks by 1 tablet up to a weekly do,3tabletstobetakenweeklycanbeincreasedevery2weeksby1tabletuptoaweeklydo,0,0.43,NA,NA,NA,NA,NA,NA,NA,NA
,"3 TABLETS, TWICE A DAY",3tabletstwiceaday,0,6,NA,NA,NA,NA,NA,NA,NA,NA
,3 tablets twice a day,3tabletstwiceaday,0,6,NA,NA,NA,NA,NA,NA,NA,NA
,3 TABLETS TWICE A DAY,3tabletstwiceaday,0,6,NA,NA,NA,NA,NA,NA,NA,NA
,3 TABLETS TWICE A DAY 8AM AND 2 PM.,3tabletstwiceaday8amand2pm,0,6,NA,NA,NA,NA,NA,NA,NA,NA
,3 TABLETS TWICE DAILY AS PER RENAL TEAM 26/8/16,3tabletstwicedailyasperrenalteam26816,0,6,NA,NA,NA,NA,NA,NA,NA,NA
,3 tablets weekly,3tabletsweekly,0,0.43,NA,NA,NA,NA,NA,NA,NA,NA
,3 tablets weekly[7.5mg],3tabletsweekly75mg,0,0.43,1.1,NA,NA,NA,NA,NA,NA,NA
,3 tablets weekly on wednesday[7.5mg],3tabletsweeklyonwednesday75mg,0,0.43,1.1,NA,NA,NA,NA,NA,NA,NA
,3 TABLET TWICE A DAY,3tablettwiceaday,0,6,NA,NA,NA,NA,NA,NA,NA,NA
,3  TABLET TWICE A DAY,3tablettwiceaday,0,6,NA,NA,NA,NA,NA,NA,NA,NA
,3 TABS AT 8AM AND 2 TABS AT 2 PM THEN AS DIRECTED,3tabsat8amand2tabsat2pmthenasdirected,0,5,NA,NA,NA,NA,NA,NA,NA,NA
,3 TABS EACH MORNING,3tabseachmorning,0,3,3,NA,NA,NA,NA,NA,NA,NA
,3 Tabs Ine The Morning,3tabsinethemorning,0,3,NA,NA,NA,NA,NA,NA,NA,NA
,3 TABS IN MORNING3OD,3tabsinmorning3od,0,3,NA,NA,NA,NA,NA,NA,NA,NA
,3 tabs in the morning,3tabsinthemorning,0,3,NA,NA,NA,NA,NA,NA,NA,NA
,"3 TABS INTIALLY, THEN 1 TABLET(S) EVERY 8 HOURS",3tabsintiallythen1tabletsevery8hours,0,3,NA,NA,NA,NA,NA,NA,NA,NA
,3 tabs mane and 2 at 2pm,3tabsmaneand2at2pm,0,5,NA,NA,NA,NA,NA,NA,NA,NA
,3 TABS  MORNING,3tabsmorning,0,3,NA,NA,NA,NA,NA,NA,NA,NA
,3 TABS ONCE DAILY,3tabsoncedaily,0,3,NA,NA,NA,NA,NA,NA,NA,NA
,3 tabs on mon.wed.& friday & 2 tabs on tues.thurs.sat. & sunday===,3tabsonmonwedfriday2tabsontuesthurssatsunday,0,2.43,NA,NA,NA,NA,NA,NA,NA,NA
,3TABS TWICE A DAY,3tabstwiceaday,0,6,NA,NA,NA,NA,NA,NA,NA,NA
,3 tab weekly,3tabweekly,0,0.43,NA,NA,NA,NA,NA,NA,NA,NA
,THREE TIMES A DAY,3timesaday,0,3,NA,NA,NA,NA,NA,NA,NA,NA
,3 TIMES  A DAY,3timesaday,0,3,NA,NA,NA,NA,NA,NA,NA,NA
,THREE TIMES A DAY 8 HOURLY,3timesaday8hourly,0,3,NA,NA,NA,NA,NA,NA,NA,NA
,THREE TIMES A DAY AFTER,3timesadayafter,0,3,NA,NA,NA,NA,NA,NA,NA,NA
,THREE TIMES A DAY AFTER FOOD,3timesadayafterfood,0,3,NA,NA,NA,NA,NA,NA,NA,NA
,THREE TIMES A DAY AND THIS SHOULD LAST ABOUT THREE WEEKS,3timesadayandthisshouldlastabout3weeks,0,3,NA,NA,NA,NA,NA,NA,NA,NA
,THREE TIMES A DAY AS NEEDED,3timesadayasneeded,0,3,NA,NA,NA,NA,NA,NA,NA,NA
,THREE TIMES A DAY AS REQUIRED,3timesadayasrequired,0,1.5,NA,NA,NA,NA,NA,NA,NA,NA
,THREE TIMES A DAY EVERY NIGHT FULL STOMACH,3timesadayeverynightfullstomach,0,3,NA,NA,NA,NA,NA,NA,NA,NA
,THREE TIMES A DAY FOR 1-2 WEEKS ONLY,3timesadayfor12weeksonly,0,3,NA,NA,NA,NA,NA,11,NA,NA
,THREE TIMES A DAY FOR BACK FOR PAIN,3timesadayforbackforpain,0,3,NA,NA,NA,NA,NA,NA,NA,NA
,"THREE TIMES A DAY FOR KNEE FOR PAIN, IF STOMACH PROBLEMS STOP",3timesadayforkneeforpainifstomachproblemsstop,0,3,NA,NA,NA,NA,NA,NA,NA,NA
,"THREE TIMES A DAY, NOT TO BE TAKEN AT SAME TIME AS IBUPROFEN TABLETS",3timesadaynottobetakenatsametimeasibuprofentablets,0,3,NA,Stop,Ibuprofen,NA,NA,NA,NA,NA
,THREE TIMES A DAY OR WHEN REQUIRED,3timesadayorwhenrequired,0,1.5,NA,NA,NA,NA,NA,NA,NA,NA
,THREE TIMES A DAY SLSHZC115151/DR HABER/002167,3timesadayslshzc115151drhaber002167,0,3,NA,NA,NA,NA,NA,NA,NA,NA
,THREE TIMES A DAY TAKE 2 OMEPRAZOLE WHILST TAKING THESE AFTER FOOD.,3timesadaytake2omeprazolewhilsttakingtheseafterfood,0,3,NA,NA,NA,NA,NA,NA,NA,NA
,THREE TIMES A DAY TO KNEE,3timesadaytoknee,0,3,NA,NA,NA,NA,NA,NA,NA,NA
,THREE TIMES A DAY TO LOWER BACK,3timesadaytolowerback,0,3,NA,NA,NA,NA,NA,NA,NA,NA
,THREE TIMES A DAY TO SHOULDER,3timesadaytoshoulder,0,3,NA,NA,NA,NA,NA,NA,NA,NA
,THREE TIMES A DAY WHEN REQUIRED,3timesadaywhenrequired,0,1.5,NA,NA,NA,NA,NA,NA,NA,NA
,THREE TIMES A DAY  WHEN REQUIRED FOR 7DAYS,3timesadaywhenrequiredfor7days,0,1.5,NA,NA,NA,NA,NA,7,NA,NA
,THREE TIMES A DAY WHEN REQUIRED WITH FOOD,3timesadaywhenrequiredwithfood,0,1.5,NA,NA,NA,NA,NA,NA,NA,NA
,THREE TIMES A DAY WITH FOOD,3timesadaywithfood,0,3,NA,NA,NA,NA,NA,NA,NA,NA
,THREE TIMES A DAY WITH FOOD WHEN REQUIRED,3timesadaywithfoodwhenrequired,0,1.5,NA,NA,NA,NA,NA,NA,NA,NA
,THREE TIMES A DAY WITH WHEN REQUIRED,3timesadaywithwhenrequired,0,1.5,NA,NA,NA,NA,NA,NA,NA,NA
,3 times a week,3timesaweek,0,0.43,NA,NA,NA,NA,NA,NA,NA,NA
,"THREE TIMES A WEEK, OR TWICE A WEEK,  ALTERNATING LIKE THIS FOR 2 MONTHS",3timesaweekortwiceaweekalternatinglikethisfor2months,0,0.43,NA,NA,NA,NA,NA,60,NA,NA
,THREE TIMES DAILY,3timesdaily,0,3,NA,NA,NA,NA,NA,NA,NA,NA
,THREE TIMES DAILY FOR 5 DAYS,3timesdailyfor5days,0,3,NA,NA,NA,NA,NA,5,NA,NA
,3 TIMES PER WEEK,3timesperweek,0,0.43,NA,NA,NA,NA,NA,NA,NA,NA
,THREE TIMES WEEKLY,3timesweekly,0,0.43,NA,NA,NA,NA,NA,NA,NA,NA
,THREE TIMES WEEKLY AS DIRECTED BY CARDIOLOGY,3timesweeklyasdirectedbycardiology,0,0.43,NA,NA,NA,NA,NA,NA,NA,NA
,"THREE TIMES WEEKLY AS DIRECTED BY CARDIOLOGY (MON, WED, FRIDAY)",3timesweeklyasdirectedbycardiologymonwedfriday,0,0.43,NA,NA,NA,NA,NA,NA,NA,NA
,THREE TIMES WEEKLY AS PER CARDIOLOGY,3timesweeklyaspercardiology,0,0.43,NA,NA,NA,NA,NA,NA,NA,NA
,THREE TO BE TAKEN AT NIGHT,3tobetakenatnight,0,3,NA,NA,NA,NA,NA,NA,NA,NA
,THREE TO BE TAKEN DAILY,3tobetakendaily,0,3,NA,NA,NA,NA,NA,NA,NA,NA
,THREE TO BE TAKEN IN THE MORNING,3tobetakeninthemorning,0,3,NA,NA,NA,NA,NA,NA,NA,NA
,THREE TO BE TAKEN TWICE DAILY,3tobetakentwicedaily,0,6,NA,NA,NA,NA,NA,NA,NA,NA
,3 TWICE A DAY,3twiceaday,0,6,NA,NA,NA,NA,NA,NA,NA,NA
,3 TWICE DAILY,3twicedaily,0,6,NA,NA,NA,NA,NA,NA,NA,NA
,THREE TWICE DAILY,3twicedaily,0,6,NA,NA,NA,NA,NA,NA,NA,NA
,"3 twice daily, or as directed",3twicedailyorasdirected,0,3,NA,NA,NA,NA,NA,NA,NA,NA
,3 weekly,3weekly,0,0.43,NA,NA,NA,NA,NA,NA,NA,NA
,3 WEEKLY ON SAME DAY,3weeklyonsameday,0,0.43,NA,NA,NA,NA,NA,NA,NA,NA
,3 x 2.5mg (one tablet) to be taken weekly,3x25mg1tablettobetakenweekly,0,0.43,1.1,NA,NA,NA,NA,NA,NA,NA
,3  X TABLETS IN THE MORNING AND 2 X  TABLET LUNCH TIME,3xtabletsinthemorningand2xtabletlunchtime,0,5,NA,NA,NA,NA,NA,NA,NA,NA
,4,4,0,1,NA,NA,NA,NA,NA,NA,NA,NA
,40mg daily,40mgdaily,0,NA,40,NA,NA,NA,NA,NA,NA,NA
,40MG DAILY,40mgdaily,0,NA,40,NA,NA,NA,NA,NA,NA,NA
,40MG EVERY DAY MORNING,40mgeverydaymorning,0,NA,40,NA,NA,NA,NA,NA,NA,NA
,40MG EVERY SECOND DAY,40mgeverysecondday,0,0.5,20,NA,NA,NA,NA,NA,NA,NA
,40MG MORNING,40mgmorning,0,NA,40,NA,NA,NA,NA,NA,NA,NA
,40MG OD AND 80MG ALTERNATE DAYS,40mgodand80mgalternatedays,0,NA,60,NA,NA,NA,NA,NA,NA,NA
,40mg once aday,40mgonceaday,0,NA,40,NA,NA,NA,NA,NA,NA,NA
,40mg twice aday,40mgtwiceaday,0,NA,80,NA,NA,NA,NA,NA,NA,NA
